0;AND45HAN
1;AQU49GAR
2;AQU49LCW
3;AQU51FAL
4;AQU56FAL
5;AQU57FAL
6;BAH54BAH
7;BDS49BDS
8;BEM41BEM
9;BIL45BIL
10;CON45CES
11;CON45CON
12;DIR57HTG
13;HAR45HAR
14;HEV34RUI
15;HIE61GOO
16;HIE84SOU
17;INH41GCO
18;JRH01JRH
19;LIK45CAS
20;LIK45DAV
21;LIK45JYS
22;LIK45LAN
23;LIK46JYS
24;LIK48JYS
25;LIK49BET
26;LIN952SWA
27;MET852MGB
28;MXL421MXL
29;NIN61NIN
30;NOR49GLO
31;NOR49NOR
32;NOR49TES
33;NTH852NTH
34;OBI852OBI
35;RUN46RUN
36;SG358RET
37;SSI31SSI
38;TES49TES
39;THA49EUR
40;TRA45TRA
41;VEE31VEE
42;VUL49PLO
43;XXX43XXX
44;lik48jys
